City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Keetmanshoop,NA,-26.5833,18.1333,49.12,31,7,12.66,clear sky
274,Road Town,VG,18.4167,-64.6167,81.19,82,91,20.56,overcast clouds
275,Bethel,US,41.3712,-73.414,72.57,78,1,4.61,clear sky
276,Aldan,RU,58.6031,125.3894,68.04,65,100,7.14,overcast clouds
277,Shimoda,JP,34.6667,138.95,87.1,62,2,10.76,clear sky
278,Havoysund,NO,70.9963,24.6622,45.48,82,100,16.11,overcast clouds
279,Narsipatnam,IN,17.6667,82.6167,81.81,64,98,7.09,overcast clouds
280,Port Keats,AU,-14.25,129.55,91.56,25,46,2.64,scattered clouds
281,Taoudenni,ML,22.6783,-3.9836,95.22,8,4,11.32,clear sky
282,Le Vauclin,MQ,14.5452,-60.8388,81.84,94,40,2.3,scattered clouds
283,Greeley,US,40.4233,-104.7091,81.01,44,1,3.0,clear sky
284,Ambon,ID,-3.6954,128.1814,89.74,62,40,4.61,scattered clouds
285,Neiafu,TO,-18.65,-173.9833,79.48,89,75,5.75,light rain
286,Omboue,GA,-1.5746,9.2618,72.82,79,100,4.68,overcast clouds
287,Peleduy,RU,59.6289,112.7406,81.63,37,84,8.32,broken clouds
288,Hambantota,LK,6.1241,81.1185,84.54,84,75,11.5,broken clouds
289,Geraldton,AU,-28.7667,114.6,66.61,59,40,1.14,scattered clouds
290,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,11.5,scattered clouds
291,Mount Isa,AU,-20.7333,139.5,71.37,18,7,13.8,clear sky
292,Bazarnyy Karabulak,RU,52.2683,46.4144,58.93,76,7,6.67,clear sky
293,Katsuura,JP,35.1333,140.3,89.71,68,1,13.89,clear sky
294,Casablanca,MA,33.5928,-7.6192,73.33,73,6,8.99,clear sky
295,Taksimo,RU,56.3444,114.8794,69.37,57,100,2.98,overcast clouds
296,Oranjestad,AW,12.524,-70.027,82.35,83,20,18.41,few clouds
297,Naze,JP,28.3667,129.4833,81.52,89,100,20.09,heavy intensity rain
298,Fortuna,US,40.5982,-124.1573,56.86,92,90,5.75,overcast clouds
299,Kaohsiung,TW,22.6163,120.3133,94.08,92,75,1.99,broken clouds
